campus_code,dept_code,dept_name,course_no,course_name,year,term,year_term_range,opening_dept,A+,A,B+,B,C+,C,D+,D,F,P,S,U,A+_count,A_count,B+_count,B_count,C+_count,C_count,D+_count,D_count,F_count,P_count,S_count,U_count,parse_status,pdf_path,error,total_count
H0002256,H0002739,피아노과,PNO4008,피아노교수법1,2026,1,1996/1 ~ 2029/2,피아노과(학부/서울),83.33,16.67,,,,,,,,,,,5,1,,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4008__피아노교수법1.pdf,,6
H0002256,H0002739,피아노과,PNO4009,피아노교수법2,2025,2,1996/1 ~ 2029/2,피아노과(학부/서울),71.43,28.57,,,,,,,,,,,5,2,,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4009__피아노교수법2.pdf,,7
H0002256,H0002739,피아노과,PNO4025,피아노전공실기7,2026,1,1999/1 ~ 2030/2,피아노과(학부/서울),,31.03,48.28,13.79,3.45,,3.45,,,,,,,9,14,4,1,,1,,,,,,ok,outputs/pdfs_full/피아노과__PNO4025__피아노전공실기7.pdf,,29
H0002256,H0002739,피아노과,PNO4026,피아노전공실기8,2025,2,1999/1 ~ 2030/2,피아노과(학부/서울),,31.58,68.42,,,,,,,,,,,6,13,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4026__피아노전공실기8.pdf,,19
H0002256,H0002739,피아노과,PNO4027,피아노문헌3,2026,1,2004/1 ~ 2028/2,피아노과(학부/서울),21.05,21.05,21.05,15.79,10.53,10.53,,,,,,,4,4,4,3,2,2,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4027__피아노문헌3.pdf,,19
H0002256,H0002739,피아노과,PNO4028,피아노문헌4,2025,2,2004/1 ~ 2028/2,피아노과(학부/서울),30,10,40,10,,10,,,,,,,3,1,4,1,,1,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4028__피아노문헌4.pdf,,10
H0002256,H0002739,피아노과,PNO4030,협주곡실습1,2018,1,2008/1 ~ 2018/2,피아노과(학부/서울),27.27,9.09,45.45,,18.18,,,,,,,,6,2,10,,4,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4030__협주곡실습1.pdf,,22
H0002256,H0002739,피아노과,PNO4033,협주곡실습2,2018,2,2008/1 ~ 2018/2,피아노과(학부/서울),33.33,16.67,41.67,8.33,,,,,,,,,4,2,5,1,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4033__협주곡실습2.pdf,,12
H0002256,H0002739,피아노과,PNO4034,피아노음악형식과분석1,2018,1,2016/1 ~ 2018/2,피아노과(학부/서울),32,8,20,20,12,8,,,,,,,8,2,5,5,3,2,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4034__피아노음악형식과분석1.pdf,,25
H0002256,H0002739,피아노과,PNO4036,인상주의와20세기초피아노음악,2018,1,2016/1 ~ 2018/2,피아노과(학부/서울),31.58,10.53,21.05,15.79,10.53,10.53,,,,,,,6,2,4,3,2,2,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4036__인상주의와20세기초피아노음악.pdf,,19
H0002256,H0002739,피아노과,PNO4037,20세기피아노음악,2017,2,2016/1 ~ 2018/2,피아노과(학부/서울),20,20,20,20,20,,,,,,,,2,2,2,2,2,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4037__20세기피아노음악.pdf,,10
H0002256,H0002739,피아노과,PNO4038,피아노음악형식과분석2,2018,2,2016/1 ~ 2018/2,피아노과(학부/서울),36.36,,36.36,9.09,18.18,,,,,,,,4,,4,1,2,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4038__피아노음악형식과분석2.pdf,,11
H0002256,H0002739,피아노과,PNO4039,예술경영및마케팅3,2022,1,2019/1 ~ 2026/2,피아노과(학부/서울),,66.67,33.33,,,,,,,,,,,6,3,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4039__예술경영및마케팅3.pdf,,9
H0002256,H0002739,피아노과,PNO4040,피아노협주곡문헌,2026,1,2019/1 ~ 2030/2,피아노과(학부/서울),6.25,25,43.75,6.25,18.75,,,,,,,,1,4,7,1,3,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4040__피아노협주곡문헌.pdf,,16
H0002256,H0002739,피아노과,PNO4041,예술경영및마케팅4,2021,2,2019/1 ~ 2026/2,피아노과(학부/서울),29.41,11.76,41.18,17.65,,,,,,,,,5,2,7,3,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4041__예술경영및마케팅4.pdf,,17
H0002256,H0002739,피아노과,PNO4042,피아노테크닉의이해와적용,2026,1,2023/1 ~ 2030/2,피아노과(학부/서울),87.5,8.33,,4.17,,,,,,,,,21,2,,1,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4042__피아노테크닉의이해와적용.pdf,,24
H0002256,H0002983,정책학과,PPL1001,논리적사고,2026,1,2009/1 ~ 2027/2,정책학과,15.44,26.85,26.85,12.08,10.07,2.01,5.37,1.34,,,,,23,40,40,18,15,3,8,2,,,,,ok,outputs/pdfs_full/정책학과__PPL1001__논리적사고.pdf,,149
H0002256,H0002983,정책학과,PPL1002,글쓰기의기초,2015,1,2009/1 ~ 2015/2,정책학과,24.56,6.14,38.6,3.51,25.44,1.75,,,,,,,28,7,44,4,29,2,,,,,,,ok,outputs/pdfs_full/정책학과__PPL1002__글쓰기의기초.pdf,,114
H0002256,H0002983,정책학과,PPL1003,법과사회,2026,1,2009/1 ~ 2027/2,정책학과,19.62,11.39,34.81,6.96,15.82,9.49,0.63,1.27,,,,,31,18,55,11,25,15,1,2,,,,,ok,outputs/pdfs_full/정책학과__PPL1003__법과사회.pdf,,158
H0002256,H0002983,정책학과,PPL1004,영문강독1,2015,1,2009/1 ~ 2015/2,정책학과,57.69,30.77,3.85,3.85,,,3.85,,,,,,15,8,1,1,,,1,,,,,,ok,outputs/pdfs_full/정책학과__PPL1004__영문강독1.pdf,,26
H0002256,H0002983,정책학과,PPL1005,사회윤리사상사,2026,1,2009/1 ~ 2027/2,정책학과,20.51,33.33,12.82,10.26,10.26,7.69,,2.56,,,2.56,,8,13,5,4,4,3,,1,,,1,,ok,outputs/pdfs_full/정책학과__PPL1005__사회윤리사상사.pdf,,39
H0002256,H0002983,정책학과,PPL1006,서구문명사,2012,1,2009/1 ~ 2015/2,정책학과,21.82,25.45,25.45,10.91,10.91,5.45,,,,,,,12,14,14,6,6,3,,,,,,,ok,outputs/pdfs_full/정책학과__PPL1006__서구문명사.pdf,,55
H0002256,H0002983,정책학과,PPL1007,비판적사고,2025,2,2009/1 ~ 2027/2,정책학과,44.06,20.98,23.08,0.7,9.79,,,0.7,,,0.7,,63,30,33,1,14,,,1,,,1,,ok,outputs/pdfs_full/정책학과__PPL1007__비판적사고.pdf,,143
H0002256,H0002983,정책학과,PPL1011,근대사상의전개,2025,2,2010/1 ~ 2028/2,정책학과,37.97,,39.24,,18.99,,,,,,3.8,,30,,31,,15,,,,,,3,,ok,outputs/pdfs_full/정책학과__PPL1011__근대사상의전개.pdf,,79
H0002256,H0002983,정책학과,PPL1012,문학과문화읽기,2015,2,2009/1 ~ 2015/2,정책학과,28.57,14.29,46.43,,10.71,,,,,,,,8,4,13,,3,,,,,,,,ok,outputs/pdfs_full/정책학과__PPL1012__문학과문화읽기.pdf,,28
H0002256,H0002983,정책학과,PPL1013,행정학원론,2015,1,2013/1 ~ 2015/2,정책학과,30.56,10.19,35.19,6.48,17.59,,,,,,,,33,11,38,7,19,,,,,,,,ok,outputs/pdfs_full/정책학과__PPL1013__행정학원론.pdf,,108
H0002256,H0002983,정책학과,PPL1014,경제학원론1,2015,1,2013/1 ~ 2015/2,정책학과,31,14,40,4,11,,,,,,,,31,14,40,4,11,,,,,,,,ok,outputs/pdfs_full/정책학과__PPL1014__경제학원론1.pdf,,100
H0002256,H0002983,정책학과,PPL1015,회의영어,2015,2,2013/1 ~ 2015/2,정책학과,46.81,51.06,2.13,,,,,,,,,,22,24,1,,,,,,,,,,ok,outputs/pdfs_full/정책학과__PPL1015__회의영어.pdf,,47
H0002256,H0002983,정책학과,PPL1016,정치학원론,2026,1,2013/1 ~ 2027/2,정책학과,28.45,12.07,36.21,5.17,15.52,,1.72,,,0.86,,,33,14,42,6,18,,2,,,1,,,ok,outputs/pdfs_full/정책학과__PPL1016__정치학원론.pdf,,116
H0002256,H0002983,정책학과,PPL1017,경제학원론2,2015,2,2013/1 ~ 2015/2,정책학과,56.14,12.28,22.81,,5.26,3.51,,,,,,,32,7,13,,3,2,,,,,,,ok,outputs/pdfs_full/정책학과__PPL1017__경제학원론2.pdf,,57
H0002256,H0002983,정책학과,PPL1018,민사법1,2025,2,2013/1 ~ 2027/2,정책학과,27.68,11.61,31.25,8.04,10.71,1.79,1.79,,,1.79,5.36,,31,13,35,9,12,2,2,,,2,6,,ok,outputs/pdfs_full/정책학과__PPL1018__민사법1.pdf,,112
H0002256,H0002983,정책학과,PPL1019,헌법학1,2021,1,2013/1 ~ 2021/2,정책학과,33.33,3.51,50.88,1.75,1.75,,,,,8.77,,,19,2,29,1,1,,,,,5,,,ok,outputs/pdfs_full/정책학과__PPL1019__헌법학1.pdf,,57
